"Disease ID","Entrez ID"
"D0831","4867"
"D0831","54806"
"D0832","546"
"D0833","4089"
"D0835","3816"
"D0836","2260"
"D0836","3730"
"D0837","4668"
"D0838","3569"
"D0839","3514"
"D0840","8701"
"D0840","1767"
"D0840","27019"
"D0841","6905"
"D0842","5080"
"D0843","2706"
"D0844","30813"
"D0845","2706"
"D0847","6303"
"D0847","3848"
"D0847","1828"
"D0847","1832"
"D0848","5019"
"D0849","4256"
"D0850","55612"
"D0851","3827"
"D0853","55109"
"D0854","1280"
"D0855","80781"
"D0856","2581"
"D0857","79944"
"D0858","3945"
"D0859","8050"
"D0862","6473"
"D0863","2690"
"D0865","2317"
"D0868","3909"
"D0869","6309"
"D0870","3030"
"D0871","210"
"D0872","181"
"D0873","23418"
"D0873","1406"
"D0873","57096"
"D0873","6121"
"D0873","23746"
"D0873","3000"
"D0873","145226"
"D0874","93"
"D0874","7044"
"D0875","1837"
"D0876","7100"
"D0877","617"
"D0877","2654"
"D0877","4722"
"D0877","4724"
"D0877","374291"
"D0877","4728"
"D0877","4723"
"D0877","6389"
"D0877","6834"
"D0877","1355"
"D0877","10128"
"D0877","5160"
"D0878","2271"
"D0878","1288"
"D0880","5781"
"D0881","3643"
"D0882","5071"
"D0883","6473"
"D0884","3251"
"D0886","6886"
"D0886","6887"
"D0886","2322"
"D0886","4683"
"D0886","10320"
"D0886","3233"
"D0886","613"
"D0886","405"
"D0886","3845"
"D0886","8833"
"D0886","8028"
"D0886","23365"
"D0886","8301"
"D0886","1050"
"D0886","26511"
"D0886","3815"
"D0886","4026"
"D0886","4869"
"D0886","8021"
"D0886","861"
"D0886","54904"
"D0886","10962"
"D0886","4926"
"D0886","7704"
"D0886","5371"
"D0886","6777"
"D0886","115761"
"D0886","5027"
"D0886","23092"
"D0886","4763"
"D0886","5781"
"D0886","596"
"D0886","595"
"D0886","6955"
"D0886","2623"
"D0886","25"
"D0886","1728"
"D0889","3689"
"D0891","1967"
"D0891","8892"
"D0891","8891"
"D0891","8893"
"D0891","8890"
"D0894","3973"
"D0895","5728"
"D0896","6338"
"D0896","6340"
"D0897","1029"
"D0898","7157"
"D0898","11200"
"D0899","3981"
"D0901","8626"
"D0902","10555"
"D0902","26580"
"D0902","4000"
"D0902","5468"
"D0902","10891"
"D0903","6770"
"D0903","1583"
"D0904","8091"
"D0904","4026"
"D0904","4221"
"D0906","4023"
"D0908","5048"
"D0908","5649"
"D0908","1641"
"D0908","170302"
"D0909","999"
"D0910","7046"
"D0910","7048"
"D0911","1071"
"D0911","11216"
"D0912","3784"
"D0912","3757"
"D0912","6331"
"D0912","287"
"D0912","3753"
"D0912","9992"
"D0912","3759"
"D0913","1639"
"D0914","4952"
"D0915","1585"
"D0916","4018"
"D0917","8483"
"D0918","3845"
"D0918","5519"
"D0918","5002"
"D0918","1326"
"D0919","2212"
"D0920","7248"
"D0920","7249"
"D0921","2303"
"D0921","2324"
"D0925","5910"
"D0925","472"
"D0925","606"
"D0925","8915"
"D0925","25788"
"D0925","8438"
"D0925","2213"
"D0925","8379"
"D0925","4436"
"D0925","4068"
"D0930","4436"
"D0931","9056"
"D0933","4287"
"D0935","3659"
"D0936","2623"
"D0937","3075"
"D0937","83872"
"D0937","10516"
"D0937","54714"
"D0937","6103"
"D0938","7439"
"D0939","2289"
"D0940","948"
"D0940","3383"
"D0940","7124"
"D0940","2995"
"D0940","4843"
"D0942","6261"
"D0942","779"
"D0943","23417"
"D0944","10892"
"D0945","10269"
"D0947","4125"
"D0947","4126"
"D0948","593"
"D0948","594"
"D0948","1629"
"D0948","2654"
"D0950","2200"
"D0950","1278"
"D0952","411"
"D0953","1301"
"D0955","3897"
"D0956","10747"
"D0957","2200"
"D0958","3815"
"D0959","3815"
"D0960","51324"
"D0961","4627"
"D0962","5837"
"D0963","2778"
"D0964","8195"
